cluster_id,description,references
1,"Most articles in the first cluster focused on the representation of health-related issues in journalism, employing framing analysis. The cluster comprises 42 articles, dating back to 2005 at the earliest (Miah, 2005). Most early research primarily shed light on framing new technology and innovations in the news, such as the ethical issues of gene-edited reproductive technology (e.g., González Santos et  al., 2018; Michelle, 2007; Miah, 2005) and radiation in health usage (Candela and Pasquarè Mariotto, 2016). Later, the major body of literature in this cluster focused on how public health crises are framed in the news, such as Covid-19 (Bednarek and Carr, 2021; Bernadas and Ilagan, 2020; Bosch and Wasserman, 2023; Hamusokwe et  al., 2022; Meyer and Van Schalkwyk, 2023; Milutinović, 2021; Sadri et al., 2022; Wollnik, 2021; Zhao et al., 2023), 2009 H1N1, also named swine flu (Holland et al., 2014; Holland and Blood, 2013), and the life crisis in East Africa (Conrad, 2015). Comparative analysis was employed by Suran et al. (2014) to make a comparison among public health topics in the news, by Edwards (2022) to compare the framing of Covid-19 and the 1918 flu in Spine news coverage, and by Perko et  al. (2019) to compare news coverage of nuclear accidents between Fukushima and Chernobyl. Alternatively, mediation analysis is systematically reviewed in the research of health news by Chan et al. (2022) and employed by Maier et al. (2017) to examine news frames and emotional response to genocide and mass violence. Framing public health issues in the news was also explored across various domains, including mental health (Holland, 2018; Slopen et al., 2007; Zhang et al., 2016), HIV (Grimm and Schwartz, 2021; Owen, 2018; Ren and Dan, 2022), cancer (Kim et al., 2017), food (Brüggemann et al., 2022), alcohol (Carah and Van Horen, 2011), obesity (Sandberg, 2007), and gaming disorder (Schatto-Eckrodt et al., 2020). In addition, framing of gender health was also highlighted, for example, the framing of brain injuries among American female athletes (Grubic, 2023), the framing of breastfeeding in public (Bock et al., 2019), and the framing of maternal mortality among African American women (Walker and Boling, 2023), stereotyping of the female body (Tinga et  al., 2023). Critical discourse analysis was employed to examine the gendered framing (Bock et al., 2019; Hamusokwe et al., 2022; Tinga et al., 2023). In addition, community health issues were discussed, such as the framing of Indigenous health (LaPoe et al., 2022), health podcasts in the UAE and Pakistan (Raza et al., 2023), and the news portrayal of elderly people mistreated in private health care (Djerf-Pierre et al., 2013). From a methodological perspective, content analysis is closely associated with and widely employed in a larger body of research articles that conduct framing analysis, with further advancements noted in some studies (e.g., Bednarek and Carr, 2021; Kruvand, 2012; Riesch, 2011).",[]
2,"The second cluster explores the impact of online media on audiences, examining how audience interaction influences journalistic practices, the mediation of health messages, and the online debate on public policy. This cluster comprises 32 articles, with the earliest dating back to 2008 (McMillan et al., 2008). McMillan et al. (2008) examined the mediation of health messages from the public’s interaction with online health website. A similar approach was later undertaken by Hurley et al. (2014) and Moon (2015), who specifically focused on online health news. With the continued growth of social media, more studies have investigated such online interactivity. This includes health information on Facebook (Mathieu, 2016), online news articles about mental health (Adamson et al., 2017) or Ice Bucket Challenge (Brown et  al., 2020), how user comments influence audience perceptions of health news stories (Hinnant et al., 2023), and the prevalence of health misinformation in social media groups (Zimdars et al., 2023). Constantly, some studies have explored the impact of the audience’s online engagement on traditional journalism of health reporting, for example, how social media metrics shaped journalistic practices (Mukerjee et al., 2023). According to Hallin and Briggs (2015), the role of health journalists in mediation is not only influenced by the field of medicine and science but also shaped by changing media logic. Moreover, some research articles on online health information fall within the overlap of political communication and health communication, highlighting the complex nature of health journalism. For instance, public debates surrounding healthrelated policy decisions were employed as their cases to examine the roles played by traditional journalists and audience’s online engagement on social media. Their results reaffirmed the essential role of traditional journalists in promoting public deliberation based on facts (Lawrence and Schafer, 2012), and the interventions of critical and investigative journalism (Fonn and Hyde-Clarke, 2023).",[]
3,"Cluster 3 concentrated on examining the influence of COVID-19 on the current media system and journalistic practices, emphasizing the significance of constructive journalism, as a type of solutions-oriented journalism, encompassing the idea of incorporating positive perspectives into news reports. This cluster comprises 29 articles, with the oldest one dating back to 2020 (Casero-Ripolles, 2020). The effects of this pandemic on the media system have been examined, highlighting the resurgence of television news in re-establishing connections with audiences previously distant from information (Casero-Ripolles, 2020). For example, online news outlets tend to portray the significant rise in income inequality in the context of COVID-19  in a subdued manner (Odriozola-Chéné et  al., 2020). The politicisation of COVID-19 coverage has significant implications for public health communication and, ultimately, compliance with diseasepreventative measures (Wondemaghen, 2023). Nevertheless, both news outlets and social media platforms face criticism for amplifying concerns such as anxiety, racial bias, and resistance to public health recommendations amid the COVID-19 pandemic (Overgaard, 2021). Restricting the news consumption is viewed as a strategy to preserve mental well-being (Mannell and Meese, 2022). Constructive journalism is supported for its capacity to alleviate anger and anxiety and to improve the trust and comprehension (Overgaard, 2021; Van Antwerpen et al., 2022; Van Antwerpen et  al., 2023a; Van Antwerpen et  al., 2023b), but its effectiveness might be  challenged in less developed countries (Mututwa and Mare, 2021; Tshabangu and Salawu, 2021). The possibility of practicing constructive journalism using digital means has been explored, such as podcasts (Lindgren and Jorgensen, 2023; Sang et al., 2023). Particularly in these countries, independent news media has confronted a crisis exacerbated by the impact of COVID-19 (Trifonova Price and Antonova, 2024).",[]
4,"Although the majority of studies in Cluster 4 focused on the news reporting of COVID-19 as a general journalism practice, it is noteworthy that news coverage significantly shaped public understanding of COVID-19 (Strydhorst and Landrum, 2022). This cluster includes 27 articles, with the earliest one published in 2013 by Rafter and Knowlton (2013). Moreover, anxiety and concerns related to COVID-19 have led to a decrease in health fact-checking, a phenomenon largely influenced by social media information overload and social media fatigue (Jiang, 2022). Cushion et al. (2022) contend that, as audiences show a preference for rigorous journalistic scrutiny of information sources, journalists can more prominently engage in fact-checking claims and questioning dubious statements without eroding trust in journalism. Fact-checking also leans on the expertise of scientists, especially virologists, who field questions and engage in discussions among participants to debunk myths and combat fake news related to the coronavirus pandemic (Fedtke et al., 2023). The prevailing belief among most journalists is that accurate information is rooted in scientific evidence and coverage of official communication. They see the role of professional journalism as combating misinformation, pseudoscience, conspiracies, and fake news (Muresan and Salcudean, 2023). It’s noteworthy to observe an emerging departure from the public reason model inherent in journalism’s professional logic toward a more instrumental public health model of news work. This adaptation is particularly relevant in a digital media environment dominated by platform companies (Graves et al., 2023). Martínez-García and Ferrer (2023) highlighted journalistic collaborations with fact-checkers to fight disinformation.",[]
5,"The fifth cluster focused on examining the representation of health issues from a science journalism perspective, assuming that health news is a subtype of scientific news. This cluster comprises 26 articles, with the earliest one published in 1998 by Culbertson et al. (1998). Differing from Cluster 1, articles in this cluster leaned towards employing the term ‘model,’ which incorporates ‘framing,’ as a competent way to characterise the news reporting on health issues. Examples include the overuse of the biomedical model of disease in health news reporting (Mercado-Martinez and Robles, 2001) and the development of criteria evaluation model for news coverage of risk (Vasterman et al., 2008). In addition, Lee and Basnyat (2013) employed framing to analyse the news coverage of the 2009 H1N1 A Influenza Pandemic within the developmental model of journalism. Furthermore, understanding scientific evidence in health research, referred to as health literacy, is essential for enhancing information quality and developing effective sourcing strategies (e.g., Amend and Secko, 2012; Chew et al., 2006; Clarke, 2011; Hinnant and Len-Ríos, 2009; Lynch et al., 2014; Mbarga et al., 2012; Ratcliff, 2021; Stroobant et al., 2018). Many articles focused on the effective sourcing strategies of health journalism in the context of non-Western developing countries (Appiah et al., 2015; Lublinski et al., 2014) and comparations among countries (Ren et al., 2014; Rosen et al., 2016; Vestergaard and Nielsen, 2016). The COVID-19 pandemic transformed the comprehension of scientific evidence into a data-driven journalism practice, thereby redefining the objectivity of news and public opinions (Wu, 2021).",[]
6,"The sixth cluster focuses on the examination of the significance of citizen journalism in health news reporting, specialised for marginalised communities. This cluster comprises 24 articles, and the earliest one was published in 2013 by Sweet et  al. (2013), who suggested Indigenous citizen journalism can serve as both journalistic and public health interventions to improve the health of the Indigenous community. Citizen journalists from the Indigenous community can alleviate their marginalised and ignored situation through engagement with so-called mainstream news outlets (Tsai et al., 2022). For instance, the intersection of Indigenous-language media in Africa with gender and health communication was highlighted, such as how these media outlets cover health emergencies and portray various aspects such as politics, gender, health, sports, violence, and communication science (Tshabangu and Salawu, 2022). Furthermore, Hinnant et al. (2019) noted the Indigenous citizen journalism grappled with the tension between medical understanding of health and cultural perspectives on health. This tension contributed to the oversaturation of certain issues, such as diabetes, while other health topics were underrepresented. Therefore, as Barge (2023) suggested, health communication interventions encompass patient-based, community-based, and media-based approaches, along with critical intervention perspectives. Barge (2023) emphasises cultural interventions, adopting a culturecentred approach aimed at transforming social inequities. Moreover, health journalism is experiencing a significant reduction in the boundary between traditional journalists working for news organizations and citizen journalists. Davis (2017) proposed refining general citizen journalism into a community health focus. This initiative led to the development of a training program for local health professionals and social workers, empowering them to use media tools for citizen journalism practices. Meanwhile, Luce et al. (2017) adopted a similar approach for disabled and elderly individuals, empowering them to take on the role of citizen journalists. The collaboration between journalists and community health experts, exemplified by co-produced podcasts, was also recommended by MacGregor and Cooper (2020).",[]
7,"The seventh cluster focuses on the examination of roles and approaches employed by journalists in reporting health news, which suggests that the practices involved in gathering health news often deviate from the typical newsgathering methods employed by general reporters. Overall, this cluster comprises 22 articles. The earliest one was published in 2007 by Gill and Babrow (2007). From their work, specific news gathering approaches were identified in the coverage of breast cancer, including the simplification of health information and the use of metaphoric expression. Additionally, the common practice in health news reporting involved the use of personal stories as examples or faces to illustrate a health issue, as noted by Hinnant et al. (2013), De Dobbelaer et al. (2018), and Wheatley (2020). Compared with general journalists, health journalists, particularly on topics such as vaccines, approached the subject from a neutral perspective, drawing on a broader array of scientific sources, notably those from professional associations and scientific journals (Catalán-Matamoros and PeñafielSaiz, 2019; Schultz, 2023). Given that health news often addresses politically charged topics involving corporate or state responsibility for the causes and solutions of health problems, health journalists operate on a spectrum in terms of their professional role conception, ranging from a disseminator to a facilitative role (Hinnant et  al., 2016). However, the survey conducted by Gearhart et al. (2018) notes that US journalists working in Indigenous media outlets are identified as disseminators of culturally relevant health information. Journalists covering health crises often adopt a more cooperative role with authorities in their efforts to contain the crises (Klemm et al., 2019). In addition, Twitter helped to build the identity of health journalists (Holton, 2016), and could serve as a news sourcing tool for health journalists, but they tended to use it more for monitoring and interacting with their peer journalists rather than seeking information from other sources, including health experts or the general public (Deprez and Van Leuven, 2018; Zhang and Zhu, 2022). Gender also played a role, with traditional areas of higher financial value, like politics and sports, being predominantly covered by male reporters, while fields such as arts, education, and health were primarily covered by females (Middleweek, 2022; North, 2016; Ross et al., 2018).",[]
8,"Most of research articles from the eighth cluster centred on examining who are the news sourcing used by health journalists, indicating the limitations of traditional news gathering approaches and the rise of social media activism as a response to public health issues. This cluster comprises 17 articles. The earliest one was published by Viswanath et  al. (2008). They conducted a national survey of U.S. health journalists and found that 93% of respondents were Caucasian, with their primary news sources being press conferences or press releases. Additionally, in developing countries, it is notable to highlight the potentially problematic role of non-governmental organisations (NGOs) in intensifying promotional and advocacy-driven health reporting (Kothari, 2018). Throughout the COVID-19 pandemic, mainstream news organisations continued to exhibit a robust elite orientation, relying heavily on sources from the state and biomedical authorities (Matar and Taha, 2023; Matthews et al., 2024; Mellado et al., 2021). In addition, Garnier et al. (2022) conducted a study on the news coverage of Avian Influenza in the UK and discovered that the coverage did not seem to promote an open, constructive, and informed public debate.",[]
9,"The ninth cluster continued to explore the tension between journalism objectivity and advocacy, particularly evident in the relationship between health and media professionals. This cluster comprises 10 articles, and the earliest one was published by Canary et al. (2018). They examined the news coverage of a specific type of genetic test and found that most news articles relied exclusively on press releases distributed by for-profit laboratory companies. Furthermore, Stroobant et al. (2019) argued that the production of health news is a co-production within the biomedical sector, intricately interwoven within academic, industrial, state, and media structures since the 1980s. This integration is suggested to worsen the existing health inequalities. As science and media become more closely connected, it is essential to understand the role of media in contributing to medicalization, characterised by the inclination to depict and address an increasing array of human conditions and experiences using medical terminology (Hallin et  al., 2021; Ross Arguedas, 2020). Therefore, the role of the medical expertise was highlighted in health news gathering (Leidecker-Sandmann et al., 2022; Ross Arguedas, 2021). However, Saikkonen (2019) argued that it is crucial to examine how journalists themselves understand their role and practices in evaluating health expertise as a source in various socio-cultural contexts. On the other hand, health is deemed a shared responsibility, urging for political intervention and accountability from health authorities (Leidecker-Sandmann et al., 2022). These assertions are more prominent in European health news and less common in the more commercially oriented U.S. health and media system. Moreover, to achieve a balance, Ytreberg and Thorbjørnsrud (2020) proposed including medical patients as health news sources, alongside medical professionals.",[]
10,"Cluster 10 delved into peace journalism and solution journalism in the context of news coverage for disadvantaged people and communities during the COVID-19, encompassing four articles. Solution journalism is characterised as news actively seeking solutions for social problems (Wenzel et al., 2018), while peace journalism is defined as the media framing of open war and conflict focused on social responsibility that actively contributes to fostering peaceful resolutions of conflicts (Hanitzsch, 2004). The earliest article, authored by Wenzel et al. (2018), focused on the implementation of solution journalism in stigmatized communities across the US. Following this, Kalfeli et  al. (2022) expanded the realm of peace journalism by introducing a new model tailored to scrutinize how media portrays immigration. During the COVID-19 pandemic, the peace journalism was found to cover the vulnerable populations in health news reporting (Auwal et al., 2022; Ersoy and Dambo, 2023).",[]
